Frame,Shadow Mapping,Collision Detection TFB,Visuals,Particle Simulation
1197,72672,14944,129696,8041440
1198,71872,15040,115904,8035456
1199,71936,15104,115872,8039712
1200,72064,15264,114784,8042240
1201,71360,14848,114912,8037056
1202,71680,15296,124224,8240128
1203,72544,14944,130144,8049536
1204,71584,14848,126752,8047008
1205,72224,15008,131552,8038016
1206,71520,15072,127328,8042880
1207,72128,15040,124960,8055072
1208,72736,14752,114080,8252128
1209,72416,14912,114912,8038368
1210,72576,16736,131520,8043008
1211,71136,14976,115456,8032704
1212,72832,14944,115232,8045632
1213,71264,15360,114016,8050560
1214,71968,15296,131904,8043552
1215,72160,15232,130880,8263488
1216,71392,15072,117152,8255328
1217,72320,15264,127872,8049600
1218,71904,15168,131168,8040736
1219,71424,14848,131552,8060224
1220,72000,15232,114976,8246496
1221,71200,15072,115008,8240224
1222,72352,15232,116672,8278656
1223,71456,15104,116736,8067712
1224,71456,15392,118016,8253024
1225,72192,14976,116736,8207296
1226,72384,15232,113376,7514464
1227,71296,15328,115712,7523776
1228,71392,15040,121568,7583296
1229,71232,14848,119584,7787840
1230,71552,15168,123616,7771104
1231,71744,15488,116480,7730784
1232,72832,17184,129632,7518944
1233,72000,15104,121696,7471776
1234,71584,15104,114560,7459840
1235,70752,15232,131296,7672576
1236,71072,14752,112128,7419584
1237,71136,15200,115648,7409600
1238,71392,16608,130624,7580608
1239,71872,15008,122816,7370848
1240,71200,14912,125440,7573152
1241,72352,14912,131072,7325728
1242,71488,14944,123968,7321120
1243,71744,15392,131040,7288416
1244,71744,14848,116640,7285184
1245,71584,15328,113504,7289568
1246,71936,15008,128672,7283072
1247,71392,15072,113952,7490400
1248,72512,15168,115648,7272832
1249,71456,15040,114592,7284896
1250,71104,15296,122496,7525248
1251,71552,15456,119936,7516448
1252,71808,15584,126016,7563008
1253,71136,17344,113312,7359232
1254,71584,15104,116544,7286944
1255,72480,15168,130720,7404736
1256,72000,14848,115040,7398400
1257,71840,15104,123360,7439488
1258,71552,14944,114656,7431872
1259,71264,15264,112224,7859072
1260,71552,14976,129184,7884960
1261,71712,16480,114304,7859552
1262,72000,14816,114496,8036896
1263,70816,15008,120864,7812384
1264,71424,14880,122976,8011616
1265,71488,15072,119136,7776256
1266,71520,14944,129152,7760448
1267,71168,15136,115232,7969504
1268,71840,14880,127008,7749792
1269,71360,15520,125856,7747392
1270,72512,16192,123296,7757440
1271,71904,15040,112992,7758240
1272,72672,15040,114304,7960640
1273,71968,14720,114240,7750336
1274,71296,15040,115168,7753440
1275,72160,15264,113440,7751552
1276,71744,15072,133056,7754528
1277,71904,15104,128992,7964640
1278,72352,14816,129760,7961920
1279,71424,14816,122816,7753024
1280,71840,14848,113952,7964608
1281,72064,15008,115296,7760224
1282,72064,15040,114656,7761984
1283,72128,15264,129632,7762880
1284,71360,15104,115520,8001440
1285,71456,14912,115168,7796384
1286,71712,16832,116896,7798048
1287,71072,15232,117248,7844640
1288,71680,14944,130208,7843872
1289,70144,15104,127712,7888480
1290,72224,15040,130336,7894656
1291,72416,14912,115040,7900288
1292,72128,15040,115072,8157888
1293,72064,15008,117248,8156256
1294,72320,15008,115840,7981472
1295,70784,15104,115296,8201696
1296,71712,15072,115040,8198752
1297,71456,15232,115008,8033216
1298,71680,15040,117216,8232640
1299,71872,15904,117440,8262528
1300,71776,14784,126432,8244032
1301,71104,14848,124704,8033120
1302,72288,14912,115488,8524288
1303,71488,14816,118464,8729696
1304,71584,15072,115296,8737248
1305,71808,15328,116352,8737408
1306,71424,15168,113952,8736416
1307,72128,15136,121120,8516256
