Frame,Shadow Mapping,Collision Detection TFB,Visuals,Particle Simulation
1197,37888,15360,57344,4156416
1198,36864,15360,57344,4148224
1199,37888,16384,58368,4150272
1200,37888,15360,58368,4169728
1201,36864,15360,57344,4131840
1202,37888,15360,58368,4144128
1203,37888,15360,58368,4113408
1204,36896,15360,312320,4085760
1205,36864,15360,58368,4085760
1206,37888,15360,58368,4110336
1207,36864,16384,57344,4159488
1208,37888,15360,58368,3523584
1209,37888,15360,58368,3471360
1210,36864,15360,59392,3516416
1211,37888,16384,57344,3463168
1212,36864,16384,326656,3490816
1213,36864,15360,57344,3509248
1214,37888,16384,57344,3496960
1215,37888,15360,57344,3464192
1216,36864,15360,57344,3466240
1217,37888,16352,57344,3482624
1218,36864,15360,57344,3461120
1219,37856,15360,56320,3472384
1220,36864,15360,57344,3449856
1221,37888,16384,58368,3468288
1222,37856,16384,57344,3472384
1223,36832,16384,57344,3485696
1224,36864,15360,57344,3487744
1225,37888,16384,56320,3490816
1226,37888,15360,58368,3463168
1227,37888,16384,58368,3486720
1228,37888,15360,58368,3468288
1229,37888,16384,59392,3492864
1230,36864,15360,60416,3469312
1231,37888,16384,57344,3485696
1232,37888,15360,58368,3437568
1233,37888,15360,58368,3470336
1234,37888,16384,58368,3433472
1235,36864,15360,315392,3499008
1236,37888,15360,58368,3489792
1237,36864,15360,57344,3484672
1238,37888,15360,59392,3465216
1239,36864,15360,57344,3502080
1240,37888,16384,57344,3454976
1241,37888,15360,393216,3458048
1242,36864,15360,57344,3453952
1243,37888,15360,398336,3445760
1244,37888,16384,641024,3451904
1245,36864,15360,384000,3427328
1246,37888,15360,560128,3403776
1247,37888,16384,57344,3394560
1248,37888,16384,555040,3395584
1249,36864,15360,57344,3389440
1250,37888,16384,550912,3404800
1251,37888,16384,56320,4375552
1252,37888,16384,624640,3403776
1253,37888,16384,56320,3643392
1254,37888,15360,665568,3384320
1255,37888,16384,57344,3354624
1256,36864,15360,57344,3338240
1257,37888,16384,634880,3329024
1258,36864,16384,58368,3345408
1259,36864,16384,416768,3373056
1260,37888,15360,649216,3323904
1261,36864,15360,58368,3345408
1262,36864,16384,625632,3342336
1263,37888,16384,656384,3419136
1264,37888,16384,58368,3347456
1265,37888,15360,58368,4144128
1266,37888,15360,611328,3386368
1267,36864,16384,624640,3358720
1268,36864,15360,616448,3417088
1269,37888,15392,537600,3369984
1270,36864,16384,58368,3367936
1271,36864,15360,56320,3420160
1272,36864,15392,619520,3382272
1273,36864,16384,57344,3459072
1274,37888,15360,544768,3412992
1275,37888,15360,539648,3420160
1276,36864,15360,664576,3423232
1277,37888,16384,56320,3471360
1278,37888,15360,57344,3472384
1279,37888,16384,571392,3483648
1280,36864,15360,356352,3480576
1281,36864,15360,57344,3519488
1282,36864,16384,57344,3473408
1283,37888,16384,57344,4117504
1284,37888,16384,58368,3519488
1285,36864,16384,58368,4025344
1286,36864,16384,59392,4162560
1287,37888,15360,557056,4081664
1288,37888,15360,615424,4122624
1289,36896,15360,58368,4129792
1290,37888,16384,384000,4091936
1291,36864,16384,421888,4073472
1292,36864,16384,57344,4417536
1293,36864,15360,603136,4140032
1294,37888,15360,532480,4107264
1295,37888,15360,56320,4166656
1296,37888,16384,57344,4135936
1297,37888,15360,634880,4154368
1298,36864,15360,58368,4164608
1299,36864,15360,623616,4168704
1300,37888,16384,57344,4373504
1301,36864,15360,59392,4434944
1302,36864,15360,56320,4126720
1303,37888,16384,418816,4094976
1304,36864,15360,556032,4140032
1305,36864,16384,384000,4153344
1306,37888,15360,630784,4142080
1307,37888,15360,57344,4336640
1308,36864,16384,404480,4115456
1309,37888,16384,644096,4113408
1310,37888,16384,615424,4114432
1311,37888,15360,56320,4378624
1312,36864,15360,538624,4142080
1313,37888,16384,610304,4109312
1314,37888,16384,58368,4139008
1315,37888,16384,57344,4116480
1316,37888,16384,313344,4117504
1317,36864,16384,389120,4127744
1318,37888,15360,551904,4136960
1319,37888,15360,57344,4158464
1320,36864,16384,56320,4119552
1321,37888,16384,641024,4135936
1322,36864,15360,57344,4942848
1323,37888,16384,59392,4961280
1324,36864,15360,629760,4103168
1325,36864,15360,58368,4093952
1326,36864,15360,409600,4111360
1327,36864,15360,624608,4111360
1328,37888,16384,648192,4107264
1329,37888,15392,610272,4064256
1330,36864,16384,58368,4088832
1331,36864,15360,57344,4064256
1332,37888,16384,421888,4059136
1333,37888,16384,58368,4064256
1334,36864,15360,632832,4075520
1335,36864,15360,637952,4032512
1336,36864,15360,57344,4045824
1337,36864,15360,882688,4081664
1338,37888,16384,57344,4050944
1339,37888,15360,57344,4046848
1340,37888,16384,312320,4072448
1341,37888,16384,58368,4953088
1342,36864,16384,58368,4080640
1343,36864,15360,58368,5088256
1344,36864,15360,57344,4069376
1345,36864,16384,400384,4094976
1346,37888,15360,59392,4078592
1347,37888,15360,637952,4106240
1348,37888,16384,637952,4104192
1349,37888,16384,936960,4033536
1350,37888,16384,617472,4098048
1351,36864,15360,398336,4136960
1352,36864,16384,58368,4090880
1353,37888,16384,400384,4106240
1354,37888,16384,560128,4092928
1355,36864,15360,620544,4112384
1356,37888,15360,666624,4081664
1357,37888,15360,57344,4958208
1358,36864,15360,602112,4097024
1359,36864,16384,607232,4089856
1360,37888,15360,58368,4072448
1361,36864,16384,57344,4889600
1362,37888,16384,56320,4943904
1363,37888,16384,57344,4092928
1364,36864,16384,644096,4092928
1365,37888,15360,611328,4105216
1366,36864,15360,376832,4112384
1367,36864,16384,58368,4127744
1368,36864,15360,57344,4092928
