Frame,Shadow Mapping,Collision Detection TFB,Visuals,Particle Simulation
1000,80992,16416,117024,4579040
1001,80576,16416,119424,4506240
1002,81024,16256,121888,4505856
1003,80320,16544,118400,4512480
1004,80544,16704,125760,4495840
1005,80768,16544,127328,4607520
1006,80896,16448,123456,4579552
1007,80512,16928,116448,4502752
1008,80352,16608,119648,4597632
1009,80992,18144,119392,4478912
1010,80544,16352,117664,4471616
1011,80192,16192,131328,4605120
1012,80832,16160,128992,4605504
1013,80544,16480,117184,4469600
1014,80576,16256,117152,4595296
1015,80832,16832,133344,4603168
1016,80960,16608,115104,4579232
1017,80704,16448,117280,4579808
1018,81312,16992,117632,4434144
1019,80544,16384,130752,4588032
1020,80736,16416,118016,4799936
1021,80416,16480,117312,4587680
1022,80800,16192,130336,4506336
1023,80320,16288,123808,4569600
1024,80192,16640,130016,4512032
1025,81024,16320,125024,4526368
1026,79904,16544,129952,4514944
1027,80448,17280,132288,4498976
1028,80416,16288,122240,4519552
1029,80576,16320,116704,4339552
1030,80544,16256,124160,4494464
1031,80768,16768,132672,4472096
1032,80896,16192,127456,4499648
1033,80672,16768,117696,4338272
1034,80672,16736,116832,4436320
1035,80480,16512,116672,4401888
1036,80832,16576,130944,4403296
1037,82464,16672,118240,4247328
1038,80896,16416,119072,4342496
1039,80512,16704,128192,3956064
1040,80576,16352,122208,3923360
1041,80896,16128,124448,3935680
1042,81472,16320,129472,3948896
1043,80320,16256,133856,3961344
1044,80640,16416,117824,3831168
1045,80640,16448,115328,3944512
1046,80608,16320,115936,3945984
1047,80736,16160,116768,3927104
1048,80256,16256,118432,3835744
1049,80608,16160,117088,3942432
1050,81184,16384,114656,3942048
1051,81056,16448,116000,3914368
1052,80960,16512,129440,3955232
1053,80608,16416,117248,3833888
1054,81024,16640,131680,3938528
1055,80448,16256,126112,3934656
1056,81248,16480,116768,3849440
1057,80416,16352,118016,3823776
1058,81376,16320,117024,3942720
1059,80608,16640,117120,3938368
1060,80736,16672,116320,3824160
1061,81248,16480,120736,3839680
1062,80736,16384,118656,3942112
1063,80832,16416,117184,3834208
1064,80288,16160,128288,3944960
1065,80768,16704,122528,3943360
1066,80480,16544,129792,3940640
1067,80608,16480,119200,3963040
1068,80320,16096,117376,3946048
1069,81120,16480,118816,3835680
1070,81056,16160,116704,3926368
1071,80768,16896,130208,3944128
1072,80352,16352,116832,3834208
1073,80576,16384,119552,3810624
1074,80832,16576,116352,3831968
1075,80512,16352,129984,3942048
1076,80416,16512,130560,3943616
1077,80448,16064,129632,3944544
1078,80704,16448,115744,3943744
1079,80736,16832,124544,3937344
1080,80672,16704,122816,3910496
1081,81344,16512,117056,3823616
1082,80000,16288,124096,3941472
1083,80512,16256,116384,3937856
1084,80512,16480,116864,3826848
1085,80544,16384,114496,3807744
1086,80096,16416,116928,3825408
1087,80896,16128,120064,3938880
1088,80160,16768,117088,3935200
1089,80704,16320,130560,3941504
1090,80320,16224,120128,3818176
1091,80608,16416,130304,3938048
1092,80768,16224,121408,3933376
1093,81024,16672,115648,3826144
1094,81120,16416,119936,3939168
1095,81152,16480,116096,3937568
1096,80512,16736,115936,3831424
1097,80768,16320,116992,3830656
1098,80160,16288,116800,3932416
1099,80512,16128,127392,3926816
1100,80480,16448,124576,3914688
1101,81056,16256,127552,3936704
1102,80352,16384,125600,3942912
1103,80960,16224,130336,3931776
1104,80608,16640,115648,3823488
1105,80768,16864,115872,3843520
1106,80672,16864,130816,4208768
1107,80864,16512,116192,3933408
1108,80768,16544,115360,3827520
1109,80768,16544,116832,3939200
1110,80544,16736,117280,3823584
1111,80992,16448,116096,3929792
1112,80960,16672,130720,3925120
1113,80256,16576,116288,3819168
1114,80384,16384,117600,3828736
1115,80416,16352,116672,3939488
1116,80576,16352,114624,3826528
1117,80704,16192,131136,3928832
1118,80576,16320,130336,3930048
1119,80864,16352,117280,3934176
1120,80512,16160,116384,3919136
1121,80608,16448,129088,3940256
1122,80288,16288,117312,3824928
1123,80640,16544,131104,3909376
1124,80736,16320,116928,3797376
1125,80800,16320,129504,3905952
1126,80512,16192,117696,3939360
1127,80608,16224,115104,3932032
1128,80224,16320,126432,3937632
1129,80608,16768,131616,3930816
1130,80512,16544,117056,3825184
1131,80768,16256,116224,3829408
1132,80768,16384,117120,3804480
1133,80800,16320,115744,3822112
1134,80192,16544,115808,3830112
1135,80416,16352,118080,3819232
1136,80544,16704,115456,3932800
1137,80192,16480,116672,3919200
1138,81152,16512,119264,3825152
1139,80896,16128,115648,3933536
1140,80800,17024,116992,3807392
1141,80832,17184,124608,3943424
1142,80736,16384,116000,3828224
1143,80352,16608,126848,3928832
1144,80928,16128,128192,3940896
1145,80896,16416,117248,3817280
1146,80384,16160,127360,3939392
1147,80544,16384,117120,3822304
1148,80608,16384,115744,3936000
1149,80096,16320,114944,3826976
1150,80480,16768,128160,3933632
1151,80864,16352,128672,3944352
1152,80352,16352,118144,3795584
1153,81248,16608,129952,3909536
1154,81024,16512,126880,3936800
1155,80896,16256,117984,3818976
1156,80480,16416,118080,4213920
1157,80608,16384,129312,3909152
1158,80896,16352,129728,3916928
1159,80288,16352,117888,3820352
1160,80448,16416,117696,3925088
1161,80896,16096,117856,3930688
1162,80448,16288,117568,3818080
1163,81120,16288,118304,3934880
1164,80064,16352,117632,3827040
1165,81056,16832,128448,3923904
1166,80704,16512,127200,3941472
1167,81184,16544,118880,3807520
1168,80000,16352,115840,3908576
1169,80608,16480,118592,3935296
1170,80608,16320,117632,3931808
1171,80480,16576,119840,3934240
1172,80960,16384,131328,3938016
1173,80960,16384,117344,3830784
1174,80128,16512,117152,3908512
1175,80320,16096,126528,3944672
1176,80928,16480,116160,3940736
1177,80544,16320,131680,3919648
1178,80320,16192,128224,3938464
1179,80160,16448,130944,3936672
1180,80608,16224,121504,3924128
1181,80800,16480,115328,3943424
1182,80448,16512,117728,3933696
1183,80608,16352,128704,3938176
1184,80352,16640,116544,3828512
1185,80352,16160,116384,3937408
1186,80448,16352,116480,3828960
1187,80608,16608,120512,3941024
1188,80480,16288,117184,3939232
1189,80864,16384,128000,3938944
1190,80800,16608,130464,3918560
1191,80320,16640,116832,3810848
1192,81088,16416,127936,3919776
1193,80768,16352,117760,3824448
1194,80608,16544,119168,3940864
1195,80704,16288,118208,3831136
1196,80608,16416,119520,3942048
1197,81184,16384,119488,3924576
1198,80320,16352,128928,3933504
1199,80352,16608,118176,3831968
1200,80512,16480,115744,3831712
1201,80544,16288,129984,3945344
1202,80352,16352,116608,3825888
1203,80960,16576,117984,3811328
1204,80672,16800,125152,3945120
1205,81024,16800,125344,3921632
1206,81312,16288,116416,3831584
1207,81952,16352,115744,3940544
1208,80384,16736,119680,3934912
1209,81600,16800,116864,3819712
1210,80736,16704,115520,3818464
1211,80288,16512,131264,3925408
1212,80704,16608,116736,3813248
1213,80448,16256,130432,4627360
1214,80704,16384,128416,4607136
1215,81024,16256,123104,4596352
1216,80256,16640,118656,4505024
1217,81248,16576,117088,4503840
1218,80384,16672,119584,4590688
1219,80768,16352,118048,4487168
1220,80608,16320,128960,4598464
1221,80960,16352,118400,4495776
1222,80864,16160,118048,4500288
1223,80288,16448,117824,4613440
1224,80256,16256,116384,4612736
1225,80096,16672,132128,4612800
1226,80384,16544,118624,4487808
1227,80544,16288,118272,4609184
1228,80416,16768,118880,4488544
1229,80928,16192,130464,4607008
1230,81056,16288,118080,4498016
1231,80672,16576,118144,4605024
1232,80320,16288,116544,4605056
1233,80352,16352,123936,4605504
1234,80768,16352,131648,4597408
1235,80576,16512,116832,4498112
1236,80256,16128,126432,4599584
1237,80864,16896,128928,4608320
1238,80032,16704,132224,4599840
1239,80416,16352,122624,4608704
1240,80768,16352,130048,4596512
1241,80736,16288,116704,4488096
1242,80704,16800,117728,4602080
1243,80960,16416,118336,4489696
1244,81440,16384,117024,4602080
1245,80960,16320,117088,4599104
1246,80480,16128,118240,4493664
1247,80224,16128,131392,4595808
1248,80416,16512,119968,4488064
1249,80736,16416,118304,4486080
1250,80032,16576,128480,4594944
1251,80480,16448,127872,4583616
1252,80960,16320,117728,4486048
1253,80608,16288,119328,4591776
1254,80672,16768,119552,4488032
1255,80672,16928,131392,4598304
1256,80736,16448,118848,4599296
1257,80864,16480,133536,4589568
1258,80448,16384,127968,4592352
1259,80672,16416,118112,4474944
1260,80448,16320,119680,4567424
1261,80704,16544,125056,4534976
1262,80576,16448,132512,4532896
1263,80864,16544,120064,4404000
1264,80672,16544,121248,4051776
1265,80672,16352,120224,3943424
1266,81664,16480,118912,3932768
1267,80896,16512,126528,4040576
1268,80448,16320,120576,3931424
1269,80736,16384,128672,3996288
1270,81024,16128,123840,3885056
1271,80448,16224,118464,3990560
1272,80224,16480,118048,3877280
1273,81088,16448,117472,3883136
1274,80000,16288,118240,3952832
1275,80992,17184,130336,3953088
1276,80032,16320,128704,4216160
1277,80928,16480,117120,3840320
1278,80384,16320,114400,3949152
1279,80768,16224,126176,3955232
1280,80928,16288,127936,3958112
1281,80480,16256,132704,3948224
1282,80448,16448,125312,3952256
1283,80608,16416,128032,3995520
1284,80928,16160,127008,3984256
1285,80896,16352,118304,3845792
1286,80224,16096,119040,3947264
1287,80992,17248,129088,3956256
1288,80736,16736,117824,3888128
1289,80800,16128,119744,3854976
1290,80160,16224,115648,3959616
1291,80992,16640,116896,3952960
1292,80640,16512,119648,3844288
1293,80576,16288,118688,3994368
1294,81344,16704,119264,3974336
1295,81216,16512,127520,3950784
1296,79808,16640,119136,3825376
1297,80768,16192,122400,3909216
1298,80960,16384,115264,4445344
1299,80704,16288,132544,4471968
1300,80480,16480,121504,4468064
1301,80608,16352,120864,4338496
1302,80320,16320,118432,4319936
1303,80160,16640,117088,4426400
1304,81184,16704,117984,4413984
1305,80288,16352,118592,4401024
1306,80096,16736,122048,4283680
1307,80736,16128,117920,4381952
1308,80832,16256,118976,4252640
1309,80320,16384,118912,4253088
1310,80928,16608,117888,4239296
1311,80480,16544,130784,4347648
1312,80864,16416,131552,4315360
1313,80704,16672,118176,4223808
1314,80928,16384,115936,4297280
1315,80384,16544,127872,4308128
