Frame,Shadow Mapping,Collision Detection TFB,Visuals,Particle Simulation
1000,70176,15072,111648,9378496
1001,70528,15232,111904,9363904
1002,71360,14752,113024,9742432
1003,69920,14720,112928,9740512
1004,70816,14944,110752,9751136
1005,70464,14880,112832,9766752
1006,70784,14976,114400,9750176
1007,70144,15648,112992,9736736
1008,70272,14976,112512,9763616
1009,70208,14880,113024,9745184
1010,70048,14720,117248,10022560
1011,70048,14656,112672,10015872
1012,70752,14944,130112,9734272
1013,70464,15200,113056,9744352
1014,70848,15040,112928,9747808
1015,69728,15008,111520,9755456
1016,70112,14976,111680,9741952
1017,69952,15008,113056,9745600
1018,71488,15136,112512,9746528
1019,71168,14848,110816,9750048
1020,70368,14784,110656,9587232
1021,70784,14976,111136,9759168
1022,70400,14784,119136,9752896
1023,70240,15296,114240,9752416
1024,70880,14816,115104,9760480
1025,70400,14944,110464,9741472
1026,69728,15040,111488,9748480
1027,69728,15008,113632,9735808
1028,70144,14720,111200,9744800
1029,69536,15072,110752,9764288
1030,70272,15168,112416,9750752
1031,70496,14784,112960,9757696
1032,70592,14880,112928,9768480
1033,70112,14912,112704,9749632
1034,69984,15232,120352,9740320
1035,71040,15104,115904,9746176
1036,70848,15008,114240,9743968
1037,70560,14976,113024,9371104
1038,70304,15328,111200,9378688
1039,70880,15040,112288,9751456
1040,70048,15232,114016,9772288
1041,70016,15040,113696,9752224
1042,70496,14880,112512,9772992
1043,70432,14912,112864,9766016
1044,70240,14848,111968,9762752
1045,70144,15040,120448,9672160
1046,70176,15584,114656,9653984
1047,70336,15104,128928,10016704
1048,70368,15200,125344,10004800
1049,70112,14816,113120,9765440
1050,70144,14880,111360,9739296
1051,70144,14784,115040,9748608
1052,70208,15072,114432,9753056
1053,70272,14976,112768,9746016
1054,70144,15232,115648,9762432
1055,69760,15520,116384,9758976
1056,70240,15840,113344,9745696
1057,70592,14912,112896,9764672
1058,70848,15264,127040,9754496
1059,70016,15008,118720,9758656
1060,70400,14976,112384,9753152
1061,70784,14912,109824,9745440
1062,69792,14880,110336,9751552
1063,70368,14944,113984,9749856
1064,70400,14944,120640,10030656
1065,69888,15168,116640,9737024
1066,70720,14976,114592,9757472
1067,70176,14912,113504,9735904
1068,69824,14944,113344,9732448
1069,70432,15104,114688,9727616
1070,70336,15104,112320,9697696
1071,70112,14752,119776,9945600
1072,70528,15008,117568,9659040
1073,70656,15328,113824,9651648
1074,70432,14720,111424,9645248
1075,70432,14976,111680,9634880
1076,71008,15040,114080,9634016
1077,70208,14912,112832,9642080
1078,70560,14848,113664,9645056
1079,70144,14976,110048,9646240
1080,69824,14816,112032,9646080
1081,70688,14912,111424,9648128
1082,70592,14816,114496,9654048
1083,69984,16000,116800,9660992
1084,70336,15488,115168,9658496
1085,71104,15040,117888,9669120
1086,70336,15264,114496,9575168
1087,70560,14848,113504,9703424
1088,70368,14912,127392,9717344
1089,70496,15072,112032,9755520
1090,70400,15232,112896,9753664
1091,70432,14688,111648,9812032
1092,70176,14880,112640,9809440
1093,70560,14976,113824,9855424
1094,71072,14880,111680,9859936
1095,70720,14944,113216,9905568
1096,70208,15232,111296,10178816
1097,70272,15008,114432,9949888
1098,70208,15136,111392,10223776
1099,70240,14944,111872,9380384
1100,69952,14816,113184,9367584
1101,70336,15008,112640,9741856
1102,70688,14784,114432,9744384
1103,70432,14880,113632,9738624
1104,70432,15104,111584,9746848
1105,70368,15136,113536,9751264
1106,71072,14848,110720,9724672
1107,70720,14848,114656,9749600
1108,69856,14912,121120,9764640
1109,70144,15136,115232,9383296
1110,70816,15232,110912,10028544
1111,70528,14976,112544,9741472
1112,70112,14976,114656,9746432
1113,70688,15072,111296,9760288
1114,70784,14976,112864,9753568
1115,70912,14912,111296,9752384
1116,69600,15040,113600,9761024
1117,71328,15168,114400,10024000
1118,70464,14848,113536,9725536
1119,70432,15232,113888,9748384
1120,70784,15136,118496,10023808
1121,70400,14944,113568,9376288
1122,69728,15168,112960,9741632
1123,71552,14784,113376,10005760
1124,70688,15008,113056,9372128
1125,69632,15008,112896,9726624
1126,70272,15008,115392,9653216
1127,70304,14976,112288,9368320
1128,70432,14720,112064,9749472
1129,70304,14912,113440,9749152
1130,70112,14784,113120,9752448
1131,70752,14976,112288,9654816
1132,70400,14880,127392,9634368
1133,69952,15136,128480,9997248
1134,70688,14880,120864,10045984
1135,70304,15008,115328,9740768
1136,71584,14912,114656,9735840
1137,70208,14976,122144,9367296
1138,71616,14944,124480,9373536
1139,70464,14816,123392,9743904
1140,70080,14944,121024,9717344
1141,70944,14848,121568,9729344
1142,70816,14976,124224,9705088
1143,70336,15040,118496,9680480
1144,70656,14912,122784,9661504
1145,70752,15584,120352,9640064
1146,70432,15232,113216,9731616
1147,69792,14976,116096,9534208
1148,70592,15392,112736,9626080
1149,70176,14976,113920,9632384
1150,70304,15200,113984,9880576
1151,70656,14848,114656,9575488
1152,71040,14976,114912,9564512
1153,70912,15296,127808,9541152
1154,71040,14912,112544,9527072
1155,70912,15104,116256,9512768
1156,70080,14848,128800,9504672
1157,70112,15104,111648,9508768
1158,70368,15168,113664,9507712
1159,70688,15008,112576,9504192
1160,69920,15232,114304,9508608
1161,70112,15104,112000,9728960
1162,71264,15296,111840,9516416
1163,69984,15424,112704,9514848
1164,71200,14944,112352,9525664
1165,71104,15360,110976,9529696
1166,70464,14848,110880,9530496
1167,69888,15552,113376,9537760
1168,70624,15104,113664,9566560
1169,69888,15008,118144,9573568
1170,70432,14752,114144,9613376
1171,70688,15360,111872,9618880
1172,70112,14848,113824,9664064
1173,69888,14944,113504,9666912
1174,70080,15136,114112,9974432
1175,70112,15328,114528,9200160
1176,70496,15008,113600,9078624
1177,69696,14784,113568,9175680
1178,70400,15328,119168,9138656
1179,70208,14816,113408,9184576
1180,70368,15008,115712,9168928
1181,71616,14752,115104,9177024
