Frame,Shadow Mapping,Collision Detection TFB,Visuals,Particle Simulation
1197,71360,15072,109344,5690752
1198,70592,15360,111456,5608288
1199,71360,14816,112544,5607584
1200,72000,15072,111904,5608192
1201,71264,15168,112544,5605536
1202,71072,15008,109920,5598048
1203,71904,14912,110240,5701440
1204,71488,14880,111712,5611008
1205,70912,15072,116928,5607360
1206,72192,14944,113632,5704192
1207,70688,15456,112992,5612832
1208,70784,15072,114912,5603840
1209,70624,15104,110848,5599616
1210,71072,15328,111776,5699008
1211,71840,15264,110304,5615776
1212,70528,15040,110816,5714080
1213,70720,14848,115840,5705856
1214,72000,15104,111840,5605152
1215,71040,15232,118624,5699136
1216,71552,15104,114784,5606880
1217,71584,15168,111232,5617280
1218,71200,14880,110176,5596352
1219,71872,15232,111136,5601824
1220,71488,15200,112448,6247168
1221,71520,15136,112704,6318080
1222,71488,15104,110656,6226464
1223,71392,15232,113280,6217600
1224,71520,15296,109920,6218016
1225,71616,15072,111392,6345088
1226,71360,14880,112736,6246304
1227,71424,14752,119232,6254400
1228,70656,14816,111712,6241152
1229,71584,15264,112416,6258304
1230,71360,15968,112576,6236160
1231,72192,15552,112416,6236096
1232,71104,15296,112128,6246208
1233,72160,15264,118560,6334112
1234,71648,15008,119968,6598112
1235,72256,15264,119456,6315584
1236,71840,15424,111456,6248608
1237,71808,15200,110112,6343488
1238,71456,15872,112032,6230272
1239,70912,15552,116672,6239872
1240,71552,15296,110368,6219648
1241,71296,15360,111328,6210112
1242,71648,14880,110624,5791168
1243,70624,15104,111392,5772032
1244,71008,15232,125120,5874496
1245,72192,15040,109984,5769888
1246,71136,14848,110400,5728384
1247,71232,15104,110752,5721088
1248,71584,14880,110368,5816352
1249,71520,15328,112416,5683264
1250,71360,15008,114720,5677088
1251,71328,14976,112384,5666688
1252,72096,14880,112896,5730144
1253,71360,14976,112928,5627744
1254,71232,15552,112608,5625600
1255,71040,16128,110784,5617024
1256,71520,15296,125856,5675712
1257,70304,15456,120064,5673056
1258,71200,15488,114752,5674464
1259,70784,15040,112256,5540256
1260,71392,15008,114240,5634400
1261,71776,15040,117600,5632864
1262,70752,15360,117280,5530432
1263,71872,15264,110336,5521984
1264,71104,15424,109920,5513696
1265,71296,15264,115456,5520256
1266,71360,15040,109856,5531168
1267,70848,15392,110752,5539360
1268,71040,15104,120416,5625120
1269,71040,15296,113344,5909088
1270,71648,15232,115072,5676608
1271,72224,15136,110112,5585824
