Frame,Shadow Mapping,Collision Detection TFB,Visuals,Particle Simulation
1000,70688,14944,117664,7375808
1001,70624,15136,119584,7370976
1002,70816,14656,122688,7369312
1003,69472,14976,122784,7372896
1004,70272,14944,129088,7359776
1005,69952,15232,120736,7345408
1006,70880,14848,121760,7347936
1007,70368,15168,128256,7367456
1008,69888,14784,111872,7355200
1009,70624,15136,122848,7370560
1010,70336,14912,110752,7445280
1011,70208,14976,126336,7347392
1012,70592,14720,126528,7360704
1013,70080,15200,125312,7353152
1014,70080,15008,127200,7377664
1015,70240,15040,129184,7339904
1016,70688,15232,112608,7349120
1017,69920,15008,119776,7337952
1018,70624,15296,118752,7348032
1019,70272,15232,112928,7347392
1020,70240,14880,122112,7334944
1021,70368,15424,114272,7336320
1022,70880,14976,113216,7328992
1023,71264,15136,118208,7362464
1024,70400,14944,119744,7339520
1025,70560,14720,112480,7334624
1026,70016,15552,120864,7343232
1027,70432,14944,124896,7345504
1028,70464,15264,121312,7336000
1029,70624,15872,118752,7343776
1030,70048,15104,121056,7334496
1031,70080,15104,120256,7337088
1032,70688,15200,124608,7355776
1033,70720,15104,114304,7341344
1034,70112,15200,113344,7439168
1035,70720,14976,111968,7337120
1036,69856,14912,110720,7456480
1037,70272,14912,112224,7445952
1038,70496,15904,114400,7350656
1039,70496,15040,119808,7341280
1040,69792,15776,117920,7333760
1041,69472,15008,123232,7314560
1042,70688,14944,112800,7288928
1043,70624,15008,115424,7265280
1044,70080,15776,111552,7252768
1045,69888,15200,113504,7236224
1046,70144,14880,117696,7315328
1047,70624,15392,112096,7207936
1048,70432,15328,114208,7207520
1049,70560,15232,114080,7207040
1050,70496,15168,118400,7185632
1051,70400,15232,119296,7203456
1052,70240,15136,112384,7291872
1053,70048,14848,120576,7201984
1054,70432,15232,127296,7201184
1055,70688,15072,114688,7202592
1056,70496,15104,119904,7240864
1057,70688,14848,115072,7237184
1058,70240,15552,120320,7375776
1059,69952,15104,126144,7374144
1060,69856,15168,112864,7276128
1061,70272,15520,114656,7329792
1062,69952,15488,121376,7335840
1063,70368,14976,119456,7342784
